"","MMWRweek","PUL","WSU","Total"
"1",31,6,1,7
"2",32,6,4,10
"3",33,1,6,7
"4",34,2,78,80
"5",35,10,262,272
"6",36,11,328,339
"7",37,11,191,202
"8",38,9,110,119
"9",39,5,127,132
"10",40,0,76,76
"11",41,9,81,90
"12",42,28,76,104
"13",43,25,31,56
"14",44,16,15,31
"15",45,32,23,55
"16",46,54,19,73
"17",47,54,86,140
"18",48,49,6,55
"19",49,41,22,63
"20",50,33,25,58
"21",51,35,16,51
"22",52,18,10,28
"23",53,17,11,28
