,t_start,t_end,mean,stdev,l_bound,h_bound,median
88,82,88,1.28756901,0.214594835,0.95606171,1.659681289,1.275666898
89,83,89,0.966957519,0.176541482,0.696015353,1.274481347,0.956235028
90,84,90,0.788499206,0.154637417,0.552511906,1.058896211,0.778413607
91,85,91,0.532556691,0.125524816,0.344218151,0.754432534,0.52272766
92,86,92,0.476029424,0.119007356,0.298588169,0.687182086,0.466149717
93,87,93,0.561855222,0.132430546,0.363155264,0.795937533,0.551485448
94,88,94,0.588741442,0.142790774,0.375137055,0.841594937,0.577238601
95,89,95,0.689261654,0.167170506,0.439186998,0.985286709,0.675794847
96,90,96,0.767538931,0.191884733,0.481436719,1.107996643,0.751609118
97,91,97,0.922972753,0.223853773,0.588104141,1.319372376,0.904939694
98,92,98,1.047890058,0.246990055,0.677304002,1.484466094,1.028549874
99,93,99,1.150200818,0.263874165,0.753197031,1.615836634,1.130086007
100,94,100,1.053214427,0.255442019,0.671092147,1.505550427,1.032636704
101,95,101,1.241009558,0.277498173,0.822457466,1.729920143,1.220388473
102,96,102,1.275409059,0.278317074,0.85464704,1.765045814,1.255222595
103,97,103,1.599136596,0.307753981,1.128759985,2.136719416,1.579438087
104,98,104,1.913311937,0.333064857,1.400352367,2.492086115,1.894020644
105,99,105,1.729283269,0.310588444,1.252029636,2.269852064,1.71072479
106,100,106,1.544046808,0.281903089,1.111403823,2.035103733,1.526925035
107,101,107,1.398749678,0.251222858,1.012717859,1.835994658,1.383738449
108,102,108,1.296492792,0.225690426,0.948902641,1.688680043,1.283420683
109,103,109,1.61193882,0.240293652,1.238077021,2.026480592,1.600014384
110,104,110,1.885079971,0.254184131,1.487355992,2.32173609,1.873667635
111,105,111,1.830181795,0.246781663,1.444040518,2.254121411,1.819101814
112,106,112,1.961101452,0.247075559,1.573148749,2.384417695,1.950735071
113,107,113,1.771831162,0.219768608,1.42649079,2.148139794,1.762753179
114,108,114,1.702237034,0.199231775,1.388311843,2.042656077,1.694470603
115,109,115,1.38654238,0.168142961,1.122039418,1.674211191,1.379751559
116,110,116,1.117071177,0.143026308,0.892675076,1.362270702,1.110972928
117,111,117,0.888168359,0.121999307,0.697465723,1.097905616,0.882588683
118,112,118,0.862028761,0.116235934,0.680153448,1.061707363,0.856810011
119,113,119,0.76366983,0.107999223,0.595123814,0.949563206,0.758584776
120,114,120,0.751069556,0.108407553,0.582083092,0.937827221,0.745860284
121,115,121,0.795038918,0.114753983,0.616159593,0.992729811,0.789524683
122,116,122,1.058151265,0.136606741,0.843916523,1.29242029,1.052278488
123,117,123,1.159713995,0.147283825,0.928544011,1.412133509,1.153484969
124,118,124,1.138310687,0.149467516,0.90411075,1.394805057,1.131775398
125,119,125,0.992706624,0.140389917,0.773610962,1.234352396,0.98609648
126,120,126,0.89760641,0.130929351,0.69363746,1.12326515,0.891248496
127,121,127,0.92533792,0.129573226,0.723010782,1.148273128,0.919297038
128,122,128,0.820944245,0.121041625,0.632498023,1.02965852,0.815003099
129,123,129,0.71700858,0.11481326,0.539171558,0.915720406,0.710889701
130,124,130,0.791191898,0.123563415,0.599494695,1.004801536,0.784768824
131,125,131,0.785250605,0.12574073,0.590487762,1.002875031,0.778549355
132,126,132,0.887139813,0.136888645,0.674609222,1.123655937,0.880109042
133,127,133,1.054912824,0.15387485,0.815198113,1.320118482,1.04744068
134,128,134,1.116096176,0.162799359,0.862478373,1.396683362,1.108190659
135,129,135,1.154521198,0.168404225,0.892171827,1.444768455,1.146343508
136,130,136,1.052891393,0.160564432,0.803420753,1.330167807,1.044740789
137,131,137,0.804523341,0.137974615,0.591800665,1.044107605,0.796649753
138,132,138,0.843006527,0.138589419,0.628714622,1.083166176,0.835424158
139,133,139,0.762755346,0.130811463,0.561076475,0.989901245,0.755290526
140,134,140,0.760721602,0.132424633,0.556771886,0.99083882,0.753051497
141,135,141,0.761799545,0.136823237,0.551555447,0.999935812,0.753623996
142,136,142,0.763838534,0.141841255,0.546433684,1.011135251,0.755076948
143,137,143,0.838666666,0.153118884,0.603671685,1.105389845,0.829366779
144,138,144,1.031041181,0.174277768,0.762076091,1.33344888,1.021238541
145,139,145,1.05438282,0.180825162,0.775595215,1.368374372,1.044063945
146,140,146,1.16769573,0.194615955,0.867051915,1.505164181,1.156901711
147,141,147,1.152352573,0.194783136,0.851741289,1.490341294,1.141396563
148,142,148,1.095003588,0.187791566,0.805475513,1.421091864,1.084287171
149,143,149,1.148619691,0.188831914,0.856641048,1.47584385,1.138288503
150,144,150,0.932125071,0.167414605,0.67487394,1.22350459,0.922121607
151,145,151,0.768598142,0.150734497,0.538566965,1.032170552,0.758767095
152,146,152,0.675005652,0.140748408,0.461336946,0.921964107,0.665248568
153,147,153,0.56034233,0.128551347,0.366934341,0.787185725,0.550543015
154,148,154,0.522289079,0.126673708,0.332794624,0.746602521,0.512084585
155,149,155,0.535935964,0.133983991,0.336164384,0.773661407,0.524812933
156,150,156,0.416054074,0.125445023,0.233330965,0.641563674,0.403516564
157,151,157,0.566416786,0.157095751,0.33503894,0.847122894,0.551961353
158,152,158,0.503305004,0.159159017,0.273063384,0.790451401,0.486631245
159,153,159,0.698866404,0.201745353,0.403258291,1.060385,0.679552249
160,154,160,1.216762534,0.28679368,0.786454769,1.723694879,1.194305587
